Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression Suite,Chrome 70.0.3538.110,,2018-12-14 06:54:52,2018-12-14 06:55:59,1m - 6.969s,FAILED
,,,,,,
Test Cases/Masoko Sign In,Chrome 70.0.3538.110,,2018-12-14 06:54:52,2018-12-14 06:55:17,24.544s,FAILED
"openBrowser("""")",Chrome 70.0.3538.110,,2018-12-14 06:54:53,2018-12-14 06:54:59,5.663s,PASSED
"navigateToUrl(""https://www.masoko.com/"")",Chrome 70.0.3538.110,,2018-12-14 06:54:59,2018-12-14 06:55:10,11.460s,PASSED
"click(findTestObject(""Object Repository/Masoko Sign In/Page_Shop Online in Kenya - Pay Con/p_Sign In""))",Chrome 70.0.3538.110,,2018-12-14 06:55:10,2018-12-14 06:55:16,5.658s,PASSED
"setText(findTestObject(""Object Repository/Masoko Sign In/Page_Customer Login/input_If you have an account s""), email)",Chrome 70.0.3538.110,,2018-12-14 06:55:16,2018-12-14 06:55:16,0.366s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Masoko Sign In/Page_Customer Login/input_If you have an account s_1""), password)",Chrome 70.0.3538.110,,2018-12-14 06:55:16,2018-12-14 06:55:17,0.575s,FAILED
,,,,,,
Test Cases/Masoko Sign In,Chrome 70.0.3538.110,,2018-12-14 06:55:17,2018-12-14 06:55:39,21.957s,FAILED
"openBrowser("""")",Chrome 70.0.3538.110,,2018-12-14 06:55:17,2018-12-14 06:55:21,4.272s,PASSED
"navigateToUrl(""https://www.masoko.com/"")",Chrome 70.0.3538.110,,2018-12-14 06:55:21,2018-12-14 06:55:32,10.250s,PASSED
"click(findTestObject(""Object Repository/Masoko Sign In/Page_Shop Online in Kenya - Pay Con/p_Sign In""))",Chrome 70.0.3538.110,,2018-12-14 06:55:32,2018-12-14 06:55:38,6.644s,PASSED
"setText(findTestObject(""Object Repository/Masoko Sign In/Page_Customer Login/input_If you have an account s""), email)",Chrome 70.0.3538.110,,2018-12-14 06:55:38,2018-12-14 06:55:39,0.354s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Masoko Sign In/Page_Customer Login/input_If you have an account s_1""), password)",Chrome 70.0.3538.110,,2018-12-14 06:55:39,2018-12-14 06:55:39,0.352s,FAILED
,,,,,,
Test Cases/Masoko Sign In,Chrome 70.0.3538.110,,2018-12-14 06:55:39,2018-12-14 06:55:57,18.530s,FAILED
"openBrowser("""")",Chrome 70.0.3538.110,,2018-12-14 06:55:39,2018-12-14 06:55:43,4.225s,PASSED
"navigateToUrl(""https://www.masoko.com/"")",Chrome 70.0.3538.110,,2018-12-14 06:55:43,2018-12-14 06:55:52,8.335s,PASSED
"click(findTestObject(""Object Repository/Masoko Sign In/Page_Shop Online in Kenya - Pay Con/p_Sign In""))",Chrome 70.0.3538.110,,2018-12-14 06:55:52,2018-12-14 06:55:56,4.295s,PASSED
"setText(findTestObject(""Object Repository/Masoko Sign In/Page_Customer Login/input_If you have an account s""), email)",Chrome 70.0.3538.110,,2018-12-14 06:55:56,2018-12-14 06:55:57,1.241s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Masoko Sign In/Page_Customer Login/input_If you have an account s_1""), password)",Chrome 70.0.3538.110,,2018-12-14 06:55:57,2018-12-14 06:55:57,0.403s,FAILED
